procs -----------memória--------- ---swap-- ----e/s---- -sistema- ------cpu-----
 r  b   swpd  livre   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 436992 3886936  28360 1136144   18   46  2697  3044  591 2085 20  9 70  1  0
 4  0 436992 3880696  28392 1127936   32    0    36   196 1775 4353 13  4 84  0  0
 0  0 436992 3882248  28416 1126520    0    0     0   120 2791 5256 28  8 64  0  0
 0  0 436992 3883256  28416 1125236    0    0     4     0 1275 2919  7  4 89  0  0
 0  0 436992 3904972  28424 1120592    0    0     8     0 1335 2862  7  2 91  0  0
 0  0 436992 3920216  28424 1118360    8    0     8     4 1348 2788  7  2 92  0  0
 1  0 436992 3918152  28432 1118560    0    0     0   192 1198 2692  6  2 92  0  0
 4  0 436992 3781476  28464 1120348    0    0     0   216 2894 4126 35 15 51  0  0
 4  0 436992 3596000  28488 1120552    0    0     0   424 1789 13030 41 14 46  0  0
 3  0 436992 3385192  28496 1124144    0    0     0    48 1700 7311 41 15 43  0  0
 0  0 436992 3222176  28496 1120040    0    0     0     4 1702 2559 34 11 55  0  0
 0  0 436992 3067484  28496 1120572    0    0   632     0 1635 2604 32 12 56  0  0
 0  0 436992 2916408  28496 1121344    0    0     0   284 1888 3139 36 13 52  0  0
 4  0 436992 2746436  28496 1121364    0    0     0     0 1806 2978 41 15 44  0  0
 4  0 436992 2512036  28504 1115984    0    0     0    56 1706 2620 42 13 45  0  0
 4  0 436992 2304128  28504 1122140    0    0     0     0 1751 2460 40 14 46  0  0
 0  0 436992 2119616  28504 1121400    0    0     0     0 18413 2408 37 17 47  0  0
 0  0 436992 1974780  28504 1121400    0    0     0   388 37104 76616 33 14 53  0  0
 2  0 436992 1806240  28520 1121924    0    0    16   120 1845 2797 33 13 54  0  0
 3  0 436992 1640872  28520 1123108    0    0     0   564 24141 3265 34 19 47  0  0
 4  0 436992 1451292  28528 1119576    0    0     0    80 7038 4127 46 15 39  0  0
 7  0 436992 1202504  28536 1119900    0    0     0    48 1211 1402 41 15 45  0  0
 0  0 436992 1054140  28536 1119292    0    0     0     0 1118 1495 37 16 47  0  0
 0  0 436992 892392  28560 1115404    0    0   390   168 11208 1797 36 15 49  0  0
 0  0 440832 745356  28560 1110056    0 3684   246  3684 1247 1857 31 18 50  0  0
 0  0 440832 589628  28560 1109788    0   56     0    56 5536 1015 30 15 55  0  0
 0  0 443904 436028  28576 1108644    0 2984     0  3120 5831 1076 32 16 52  0  0
 0  0 448768 296884  28576 1106916    0 4888     0  4952 15091 1362 37 14 50  0  0
 0  0 454400 3969360  28600 1103216    0 5640     0  5772 1486 1913 31 16 53  0  0
 0  0 454400 3964088  28616 1103180    0    0     0   116  619 1661  4  2 94  0  0
 0  0 454400 3964088  28616 1103196    0    0     0     0  381  963  2  1 97  0  0
 1  0 454400 3963864  28624 1101652    0    0     0    52  377  955  2  1 97  0  0
 0  0 454400 3963864  28628 1101940    0    0     4   104  374  947  2  0 98  0  0
 0  0 454400 3950256  28640 1107372    0    0   100   168  803 2990  4  3 93  0  0
 1  0 454400 3915084  28656 1107660    0    0  2652    72 2436 4690 12  6 82  0  0
 1  0 454400 3907228  28988 1117064    0    0   480  3324 5402 9094 21  6 72  1  0
 4  0 454400 3907780  28992 1128516    0    0   344     0 2283 5675 25  6 69  0  0
 0  0 454400 3898960  28992 1136728    0    0     0     4 1906 3806 24  5 71  0  0
 1  0 454400 3898960  28992 1139296    0    0     0     0  505 1442  3  1 96  0  0
 2  0 454400 3852896  29008 1156168    0    0     0   212 2413 6777 27  8 65  0  0
 0  0 454400 3860708  29008 1147956    0    0     0     0 1335 2784 17  2 81  0  0
 1  0 454400 3885328  29032 1136084    0    0   172   244 2543 4472 22  5 73  0  0
 1  0 454400 3877800  29040 1143568  164    0   164   456 2126 4787 17  5 78  0  0
 1  0 454400 3885360  29048 1132408    0    0     0   308 1153 3652 14  3 83  0  0
 0  0 454400 3884352  29048 1121540    0    0     0     0 1379 4585 17  3 80  0  0
 0  0 454400 3892588  29064 1120500    0    0     0   116  521 1364  3  1 96  0  0
 0  0 454400 3899220  29064 1114876    0    0     0     8  411 1138  2  1 97  0  0
 0  0 454400 3899976  29064 1108764    0    0     0     0  504 1133  2  0 97  0  0
 0  0 454400 3899976  29064 1108636    0    0     0     0  391  981  2  0 98  0  0
 0  0 454400 3912224  29064 1106844   32    0    32     0  627 1662  4  1 95  0  0
 0  0 454400 3905928  29064 1104920   16    0    36     0  471 1333  4  1 95  0  0
 0  0 454400 3927784  29072 1100952   68    0   116    52  504 1236  2  1 97  0  0
 0  0 454400 3926052  29072 1100952    0    0     0     0  488 1155  2  1 97  0  0
 0  0 454400 3924792  29080 1100728    0    0     0   440  497 1080  2  1 97  0  0
 1  0 454400 3925424  29080 1100892    0    0     0     0  562 1576  3  1 96  0  0
 1  0 454400 3926808  29080 1101112    0    0     0     0  980 3109 10  2 88  0  0
 1  0 454400 3933380  29100 1101372    0    0   144     0 1561 3567 13  4 83  0  0
 1  0 454400 3938188  29108 1101512    0    0     8     0 1893 2811 14  2 83  0  0
 7  0 454400 3928260  29376 1102780    0    0  1256   424 1789 7425 18  4 78  0  0
 0  0 454400 3914204  29424 1104356    0    0  5208   320 1800 4384 12  3 85  1  0
