procs -----------memória--------- ---swap-- ----e/s---- -sistema- ------cpu-----
 r  b   swpd  livre   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 3638296   7324 951664    0    0  3579  1521  664 2611 24 11 65  1  0
 1  0      0 3636628   7500 949156    0    0  3836   224  807 1560  5  3 92  1  0
 0  0      0 3636128   7516 949284    0    0   128    84  428  833  1  1 98  0  0
 0  0      0 3634112   7544 954528    0    0  3936     0  365 1092  1  2 96  1  0
 0  0      0 3619032   7692 960360    0    0  2060     0  644 1852  3  2 95  1  0
 1  0      0 3632164   7692 960632    0    0   272     0  283  706  1  1 98  0  0
 0  0      0 3631916   7692 958200    0    0   128     0  266  652  1  0 99  0  0
 2  0      0 3605260   7692 973532    0    0     0     0 2246 4707 21  5 73  0  0
 0  0      0 3581160  10224 970624    0    0 16120   424 2344 3812 33 11 54  2  0
 0  0      0 3400100  10224 970624    0    0     0     0  655  975 26 10 64  0  0
 0  0      0 3236592  10224 970624    0    0     0     0  931 1442 28 13 60  0  0
 4  0      0 2997716  10224 970624    0    0     0     0  796  703 38 13 49  0  0
 4  0      0 2774008  10224 970948    0    0   340     0 1641 1016 40 15 45  0  0
 0  0      0 2632068  10364 968016    0    0   198    56  813  830 27  9 64  0  0
 0  0      0 2466980  10364 968016    0    0     0     0  721 1018 27  9 64  0  0
 1  0      0 2310120  10364 968020    0    0     0     0  895 1267 31 10 59  0  0
 4  0      0 2037600  10364 968020    0    0     0     0  885  800 39 14 46  0  0
 0  0      0 1827332  10364 968016    0    0     0     0  832  925 37 13 50  0  0
 0  0      0 1670308  10372 968736    0    0   646    52  661  904 25  9 66  0  0
 0  0      0 1501628  10372 970756    0    0  2152     0 1059 1131 32 10 58  0  0
 4  0      0 1253756  10372 972280    0    0  1212     0 1189 1599 37 14 48  0  0
 5  0      0 1014880  10372 972280    0    0     0   176  995 1055 38 16 46  0  0
 0  0      0 859620  10372 972276    0    0     0     0  632  801 24 11 65  0  0
 0  0      0 697304  10372 972276    0    0     0     0  620  819 25 10 65  0  0
 4  0      0 453760  10396 972620    0    0   620   100 1034 1144 39 15 47  0  0
 4  0      0 303960  10396 979308    0    0  7644     0 73739 1740 38 24 36  2  0
 7  0      0 125968  10400 962640    0    0     0    52  858  828 37 17 45  0  0
 4  0      0 136088  10368 865724    0    0    67     0 16449  852 28 23 49  0  0
 4  0      0 118996   2856 787052    0    0  6792    84 18554 1148 26 27 47  0  0
 2  0      0 3907160   2548 709944    0    0 72486     0 5706 96650 29 51 16  4  0
 0  0      0 3775192   5552 835672    0    0 123585   272 2471 11560  5 21 63 12  0
 1  0      0 3646924   6408 950004    0    0 110464   116 2309 4333  6  8 70 16  0
 0  0      0 3594980  10040 976192    0    0 27968   160 2168 5475 11  4 82  4  0
 0  0      0 3593720  10068 979944    0    0  3764   112  360  826  1  0 98  1  0
 0  0      0 3591200  10328 981240    0    0  1548     0  336  836  1  2 97  0  0
 0  0      0 3575076  10352 992820    0    0  5926     0  700 1646  3  3 94  1  0
 0  0      0 3574600  10352 993340    0    0   328     0  298  739  1  0 99  0  0
 0  0      0 3576112  10492 985436    0    0   267    60  285  695  1  1 98  0  0
 0  0      0 3577568  10492 985436    0    0     0     0  221  613  1  0 99  0  0
 0  0      0 3578380  10492 985576    0    0   140     0  266  623  1  0 98  0  0
 0  0      0 3567304  10492 993836    0    0    68     0  550 1291  3  2 95  0  0
 0  0      0 3566548  10504 994208    0    0   132   308  301  736  1  0 99  0  0
 2  0      0 3566296  10504 986108    0    0    92     0  252  670  1  0 99  0  0
 0  0      0 3565036  10508 984148    0    0  6409     0  451  863  1  1 97  1  0
 0  0      0 3564280  10820 984012    0    0   340     0  272  703  1  1 98  0  0
 0  0      0 3560500  10820 992380    0    0     0     0  460 1287  3  1 96  0  0
 0  0      0 3558484  10828 992372    0    0     0    52  295  740  1  1 98  0  0
 0  0      0 3588692  10836 982888    0    0  1136    48  379  920  1  1 97  0  0
 0  0      0 3588368  10836 982888    0    0     0     0  287  682  1  0 99  0  0
 0  0      0 3587112  10836 983084    0    0   197     0  303  688  1  1 98  0  0
 0  0      0 3575272  10836 991572    0    0   538     0  462 1270  2  1 97  0  0
 0  0      0 3575048  10836 991680    0    0     0     0  294  713  2  0 98  0  0
 0  0      0 3563456  10844 994980    0    0  3347    72  439  891  2  1 96  0  0
 0  0      0 3559172  10844 999972    0    0  4880     0  376  848  2  0 97  1  0
 1  1      0 3557912  10844 1002724    0    0  3194     0  339  716  1  1 98  1  0
 6  0      0 3456016  11160 1085480    0    0 25388   756 3237 9157 22 11 64  2  0
 3  0      0 3469840  11348 1081652    0    0  6119   268 3652 5063 35 10 54  1  0
 0  0      0 3465596  11348 1081932    0    0   488     0  822 1858  7  1 92  0  0
 0  0      0 3501432  11348 1052076    0    0     0   492  371  842  1  1 98  0  0
 0  0      0 3495384  11356 1066916    0    0  5404   108  599 1253  2 11 84  4  0
