procs -----------memória--------- ---swap-- ----e/s---- -sistema- ------cpu-----
 r  b   swpd  livre   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1124400  70312 4120728    0    0   177  3684  308  621 17  4 78  1  0
 0  0      0 1097008  70312 4131696    0    0  3112     4  599  911  7  1 92  0  0
 0  0      0 1090204  70324 4132824    0    0  1685     0  678 1780  4  2 94  0  0
 0  0      0 1090456  70332 4124644    0    0     0    40  362  773  2  2 96  0  0
 0  0      0 1089196  70332 4132836    0    0     0     0  406  902  1  1 98  0  0
 0  0      0 1096756  70332 4132768    0    0     0     0  359  907  2  1 98  0  0
 0  0      0 1100116  70332 4124748    0    0     0     0  268  562  1  0 99  0  0
 0  0      0 1113192  70332 4132840    0    0     0     0  616 1550  4  3 93  0  0
 0  0      0 1093196  70332 4132840    0    0   116     0  457 1032  2  2 96  0  0
 0  0      0 1105428  70340 4124800    0    0     0    16  357  694  1  1 98  0  0
 0  1      0 1094844  70340 4132992    0    0   196     0  726  887  6  1 93  0  0
 1  0    256 365496  70452 4124040    0  176  5536   176 1189 1379 23  8 68  1  0
 1  0    256 127564  70448 3670836    0    0     0     0 3289 1669 18 11 71  0  0
 1  0    512 124732  69860 2534632    0  264   104   320 4413 1983  9 19 72  0  0
 5  0   4352 132512  69436 1940856    0 3064  5672  3264 2980 5582 48 19 32  1  0
 4  0   6656 117520  69484 1940724    0 2540   720  2816 10898 4340 90 10  0  0  0
 4  0   6656 124696  69440 1933084    0    0    56     0 1394 1110 98  2  0  0  0
 4  0   6656 119444  69492 1933296    0    0   168     0 1404 1144 98  2  0  0  0
 4  0   6656 118212  69524 1933292    0    0    36     0 1437  992 97  3  0  0  0
 4  0   6656 143896  69524 1933368    0    0     4     0 1270  886 98  2  0  0  0
 4  0   6656 142860  69532 1925000    0    0     0   476 1233  589 99  1  0  0  0
 6  0   6656 136140  69532 1933084    0    0     0   320 1325  885 97  3  0  0  0
 4  0   6656 119264  69532 1933088    0    0     0     0 1419 1251 96  4  0  0  0
 4  0   7424 127992  69540 1921644    0  744   108   928 1257  800 98  2  0  0  0
 4  0   7424 126664  69548 1929932    0    0     0   276 1264  801 97  3  0  0  0
 1  0   7424 2913824  69556 1929928    0    0     0    92 1397  923 71  8 21  0  0
 1  0   7424 1885940  69556 1913680    0    0    92     0  597  593 23  3 74  0  0
 1  0   7424 438596  69556 1888024    0    0     0     0  905  822 10 18 73  0  0
 4  0   7424 187008  69556 1872900    0    0     0     0 1176 1074 84  5 11  0  0
 4  0   7424 194496  69556 1864768    0    0     0     0 1140  575 98  2  0  0  0
 4  0   7424 183520  69564 1870780    0    0   120    52 1277 1145 96  4  0  0  0
 7  0   7424 210688  69580 1864896    0    0     0    96 1238  965 97  3  0  0  0
 4  0   7424 202120  69580 1873104    0    0     0     0 1160  548 98  3  0  0  0
 4  0   7424 200408  69580 1872996    0    0     0     0 1253  966 97  3  0  0  0
 4  0   7424 202348  69580 1865020    0    0     0     0 1166  629 97  3  0  0  0
 4  0   7424 190332  69588 1873172    0    0     0    52 1611 1350 96  4  0  0  0
 4  0   7424 190108  69588 1873688    0    0     0   616 1234  861 97  3  0  0  0
 4  0   7424 193808  69588 1865696    0    0     0     0 1175  600 97  3  0  0  0
 4  0   7424 189856  69588 1873804    0    0   200     0 1214  957 96  5  0  0  0
 0  0   7424 3347076  69588 1873996    0    0   192     0 1179  853 81  7 12  0  0
 0  0   7424 3345116  69596 1874000    0    0     0    92  581 1406  4  3 92  0  0
 0  0   7424 3358392  69596 1874000    0    0     0     0  324  815  2  2 97  0  0
 1  0   7424 3364444  69596 1874064    0    0     0     0  450  917  2  1 97  0  0
 0  0   7424 3378092  69596 1865868    0    0     0     0  306  754  1  1 98  0  0
 0  0   7424 3367512  69632 1874112    0    0    68   184  869 1093  6  1 93  0  0
 1  0   7424 3367288  69632 1874064    0    0     0    44  684 1610  4  3 93  0  0
 0  0   7424 3369008  69632 1865980    0    0     0     0  245  533  1  1 99  0  0
 0  0   7424 3361996  69640 1874064    0    0     0    88  347  854  2  1 97  0  0
 0  0   7424 3369628  69640 1874124    0    0     0     0  462 1047  2  1 97  0  0
 0  0   7424 3369296  69640 1865868    0    0     0     0  242  593  1  0 98  0  0
 1  0   7424 3363252  69640 1874064    0    0     0    16  549 1401  3  2 95  0  0
 0  0   7424 3357204  69640 1873972    0    0    20     0  370  818  1  1 98  0  0
 0  0   7424 3387392  69648 1866100    0    0   249    64 2472  847  6  0 94  0  0
 0  0   7424 3391440  69648 1874072    0    0     0   188  769 1070  7  3 90  0  0
 1  0   7424 3393204  69648 1865988    0    0     0     0  276  605  1  1 98  0  0
 0  0   7424 3388920  69648 1874180    0    0     0   328  644 1514  4  2 95  0  0
 0  0   7424 3387408  69648 1874184    0    0     0     0  289  798  1  1 98  0  0
 0  0   7424 3387156  69648 1866100    0    0     0     0  247  543  2  0 98  0  0
 0  0   7424 3377356  69664 1874180    0    0     0    68  468 1029  2  1 97  0  0
 0  0   7424 3373072  69664 1874364    0    0    56     0  476  959  3  1 96  0  0
